Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
CME:MBT1!,Buy,Stop,158,,99075,99075,Filled,6.2615,,,2025-02-06 09:00:37,2025-02-06 09:06:50,1777590873
CME:MBT1!,Buy,Limit,158,98830,,,Cancelled,,,,2025-02-06 09:00:37,2025-02-06 09:06:50,1777590874
CME:MBT1!,Sell,Limit,115,97845,,97850,Filled,4.5011,20:1,"56,260.88 USD",2025-02-06 11:08:28,2025-02-06 11:10:33,1778239412
CME:MBT1!,Buy,Stop,115,,98115,,Cancelled,,,,2025-02-06 11:08:28,2025-02-06 11:11:43,1778239413
CME:MBT1!,Buy,Limit,115,96545,,,Cancelled,,,,2025-02-06 11:08:28,2025-02-06 11:11:43,1778239414
CME:MBT1!,Buy,Market,115,,,97870,Filled,4.5020,20:1,"56,275.25 USD",2025-02-06 11:11:43,2025-02-06 11:11:43,1778252779
CME:MBT1!,Sell,Limit,130,97445,,,Cancelled,,20:1,,2025-02-06 11:31:32,2025-02-06 11:41:33,1778321888
CME:MBT1!,Buy,Stop,130,,97650,,Cancelled,,,,2025-02-06 11:31:32,2025-02-06 11:41:33,1778321889
CME:MBT1!,Buy,Limit,130,96545,,,Cancelled,,,,2025-02-06 11:31:32,2025-02-06 11:41:33,1778321890
CME:MBT1!,Sell,Limit,154,97440,,,Cancelled,,20:1,,2025-02-06 11:43:43,2025-02-06 11:55:41,1778363783
CME:MBT1!,Buy,Stop,154,,97605,,Cancelled,,,,2025-02-06 11:43:43,2025-02-06 11:55:41,1778363784
CME:MBT1!,Buy,Limit,154,96545,,,Cancelled,,,,2025-02-06 11:43:43,2025-02-06 11:55:41,1778363785
CME:MBT1!,Sell,Limit,154,96275,,96290,Filled,5.9315,20:1,"74,131.75 USD",2025-02-06 14:49:38,2025-02-06 14:50:08,1778873569
CME:MBT1!,Buy,Stop,154,,96250,96255,Filled,5.9293,,,2025-02-06 14:49:38,2025-02-06 14:51:45,1778873570
CME:MBT1!,Buy,Limit,154,95545,,,Cancelled,,,,2025-02-06 14:49:38,2025-02-06 14:51:45,1778873571
CME:MBT1!,Buy,Limit,154,96580,,96575,Filled,5.9490,20:1,"74,366.60 USD",2025-02-06 15:11:25,2025-02-06 15:18:40,1778927017
CME:MBT1!,Sell,Stop,154,,97330,97320,Filled,5.9949,,,2025-02-06 15:11:25,2025-02-06 15:49:27,1778927018
CME:MBT1!,Sell,Limit,154,97640,,,Cancelled,,,,2025-02-06 15:11:25,2025-02-06 15:49:27,1778927019
